TP_FAIXA_ETARIA,TP_SEXO,TP_ESTADO_CIVIL,TP_COR_RACA,TP_NACIONALIDADE,TP_ST_CONCLUSAO,TP_ANO_CONCLUIU,TP_ESCOLA,TP_ENSINO,IN_TREINEIRO,CO_MUNICIPIO_ESC,CO_UF_ESC,SG_UF_ESC,TP_DEPENDENCIA_ADM_ESC,TP_LOCALIZACAO_ESC,TP_SIT_FUNC_ESC,CO_MUNICIPIO_PROVA,CO_UF_PROVA,SG_UF_PROVA,TP_PRESENCA_CN,TP_PRESENCA_CH,TP_PRESENCA_LC,TP_PRESENCA_MT,CO_PROVA_CN,CO_PROVA_CH,CO_PROVA_LC,CO_PROVA_MT,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,TP_LINGUA,TP_STATUS_REDACAO,Q001,Q002,Q003,Q004,Q005,Q006,Q007,Q008,Q009,Q010,Q011,Q012,Q013,Q014,Q015,Q016,Q017,Q018,Q019,Q020,Q021,Q022,Q023,Q024,Q025,NU_NOTA_REDACAO
2,M,1,3,1,3,0,1,,1,,,,,,,4101903,41,PR,1,1,1,1,1088.0,1058.0,1067.0,1077.0,446.9,481.2,401.2,506.9,0,1.0,G,G,E,D,4,J,B,D,D,C,B,C,C,C,B,B,B,B,E,A,B,E,A,B,B,605.38293
2,F,1,3,1,2,0,2,1.0,0,4114609.0,41.0,PR,2.0,1.0,1.0,4114609,41,PR,1,1,1,1,1086.0,1055.0,1065.0,1076.0,393.4,576.9,570.7,552.9,1,1.0,D,B,C,B,4,F,A,B,D,B,B,B,A,B,B,A,A,A,B,A,B,D,A,A,B,605.38293
5,M,3,1,1,1,3,1,,0,,,,,,,4106902,41,PR,0,1,1,0,,1057.0,1068.0,,,635.7,611.4,,0,1.0,H,F,F,E,4,H,A,D,D,B,A,B,B,B,A,B,A,B,E,A,B,D,A,D,B,605.38293
2,M,1,1,1,2,0,2,1.0,0,4114104.0,41.0,PR,4.0,1.0,1.0,4115200,41,PR,1,1,1,1,1086.0,1055.0,1065.0,1076.0,518.9,556.2,569.0,570.4,0,1.0,E,E,C,B,4,H,A,C,D,B,A,B,B,B,A,B,A,B,B,A,A,E,A,B,B,605.38293
2,M,1,2,1,2,0,2,1.0,0,4115200.0,41.0,PR,2.0,1.0,1.0,4115200,41,PR,1,1,1,1,1086.0,1055.0,1065.0,1076.0,497.8,495.9,498.3,487.9,0,1.0,E,E,C,F,3,M,A,D,D,B,A,B,B,B,A,B,A,B,C,A,B,D,B,B,B,605.38293
2,F,1,1,1,3,0,1,,1,,,,,,,4104808,41,PR,0,1,1,0,,1057.0,1068.0,,,590.7,576.8,,0,1.0,F,E,C,B,3,E,A,B,C,B,A,B,B,B,B,B,A,B,B,B,A,D,A,B,B,605.38293
1,M,1,1,1,3,0,1,,1,,,,,,,4128104,41,PR,1,1,1,1,1085.0,1057.0,1068.0,1075.0,489.0,533.2,418.5,581.0,0,1.0,E,E,B,B,4,D,A,C,D,B,A,B,B,B,B,B,A,B,B,A,A,B,B,B,B,605.38293
2,F,1,2,1,3,0,1,,1,,,,,,,4109807,41,PR,1,1,1,1,1085.0,1057.0,1068.0,1075.0,489.3,400.0,428.1,451.6,1,1.0,D,E,C,B,4,E,A,B,D,A,A,B,A,B,A,A,A,A,B,A,A,D,A,A,B,605.38293
4,F,1,1,1,1,2,1,,0,,,,,,,4118402,41,PR,1,1,1,1,1087.0,1056.0,1066.0,1078.0,501.8,457.0,487.1,533.7,0,1.0,D,B,C,B,5,D,A,B,C,B,A,B,A,B,A,B,A,B,A,A,A,E,A,B,B,605.38293
2,F,1,1,1,2,0,2,1.0,0,4113205.0,41.0,PR,2.0,1.0,1.0,4113205,41,PR,1,1,1,1,1085.0,1057.0,1068.0,1075.0,421.9,536.5,513.6,631.1,1,1.0,E,D,B,B,4,A,A,B,D,A,A,B,B,B,A,B,A,A,D,B,A,E,A,B,B,605.38293
2,F,1,1,1,3,0,1,,1,,,,,,,4106902,41,PR,1,1,1,1,1088.0,1058.0,1067.0,1077.0,463.2,464.5,548.3,589.9,0,4.0,F,F,E,E,3,M,A,D,D,B,B,B,B,B,A,B,A,B,B,B,A,D,A,D,B,605.38293
3,M,1,1,1,1,1,1,,0,,,,,,,4106902,41,PR,1,1,1,1,1087.0,1056.0,1066.0,1078.0,588.3,584.7,599.8,659.7,1,1.0,F,E,D,B,4,G,A,C,D,B,B,B,B,B,B,B,A,B,D,B,B,E,A,D,B,605.38293
2,F,1,1,1,2,0,3,1.0,0,,,,,,,4113700,41,PR,1,1,1,1,1087.0,1056.0,1066.0,1078.0,596.1,597.4,557.1,641.3,0,1.0,E,G,D,D,5,M,A,B,D,C,A,B,B,B,A,B,A,A,E,A,B,D,B,D,B,605.38293
3,F,1,1,1,1,1,1,,0,,,,,,,4120606,41,PR,1,1,1,1,1085.0,1057.0,1068.0,1075.0,450.7,483.7,482.3,426.2,1,1.0,C,B,A,A,4,B,A,B,C,B,A,B,B,B,A,A,A,B,B,A,A,C,A,A,B,605.38293
4,F,1,3,1,2,0,2,2.0,0,4106902.0,41.0,PR,2.0,1.0,1.0,4106902,41,PR,1,1,1,1,1087.0,1056.0,1066.0,1078.0,558.0,486.5,463.3,465.2,0,1.0,H,D,C,B,3,D,A,B,D,B,B,B,B,B,A,B,A,B,A,A,A,E,B,B,B,605.38293
1,F,1,1,1,3,0,1,,1,,,,,,,4104808,41,PR,1,1,1,1,1088.0,1058.0,1067.0,1077.0,582.6,565.5,539.9,535.5,0,1.0,G,G,E,E,2,O,C,D,C,B,A,B,B,B,A,C,A,B,D,B,B,C,A,C,B,605.38293
1,M,1,0,1,3,0,1,,1,,,,,,,4101002,41,PR,1,1,1,1,1088.0,1058.0,1067.0,1077.0,478.9,483.3,548.8,579.5,0,1.0,B,B,A,B,5,C,A,B,D,C,B,B,B,B,B,B,A,A,B,A,A,E,A,C,B,605.38293
2,M,1,1,1,2,0,3,1.0,0,4115200.0,41.0,PR,4.0,1.0,1.0,4115200,41,PR,1,1,1,1,1088.0,1058.0,1067.0,1077.0,698.7,712.5,609.9,848.7,1,1.0,F,F,D,D,4,F,A,D,D,B,B,B,B,B,A,B,A,B,B,A,A,E,A,B,B,605.38293
5,F,1,1,1,1,3,1,,0,,,,,,,4111407,41,PR,1,1,1,1,1085.0,1057.0,1068.0,1075.0,483.9,619.0,539.2,527.3,0,1.0,E,E,E,D,5,H,A,B,C,C,B,B,B,B,A,A,A,B,B,A,A,D,A,B,B,605.38293
10,F,1,1,1,1,8,1,,0,,,,,,,4125506,41,PR,1,1,1,1,1088.0,1058.0,1067.0,1077.0,404.1,564.4,490.8,451.9,0,1.0,A,E,B,B,2,D,A,B,B,A,A,B,A,B,A,A,A,A,B,A,A,C,A,B,B,605.38293
1,F,1,3,1,3,0,1,,1,,,,,,,4120804,41,PR,1,1,1,1,1085.0,1057.0,1068.0,1075.0,432.9,378.2,341.4,570.5,0,1.0,D,D,B,B,3,D,A,B,C,B,A,B,B,B,A,B,A,B,B,A,A,D,A,A,B,605.38293
2,M,1,3,1,2,0,2,1.0,0,,,,,,,4106407,41,PR,1,1,1,1,1087.0,1056.0,1066.0,1078.0,521.9,531.6,547.1,498.7,0,1.0,F,F,B,B,3,D,A,C,D,B,A,B,A,B,A,B,A,B,C,A,A,D,A,A,B,605.38293
5,M,1,1,1,1,2,1,,0,,,,,,,4106902,41,PR,1,1,1,1,1085.0,1057.0,1068.0,1075.0,552.2,609.0,609.0,518.2,0,1.0,E,E,D,B,4,D,A,D,D,B,A,B,B,B,A,B,A,B,B,A,A,E,B,B,B,605.38293
6,F,1,1,1,1,4,1,,0,,,,,,,4109401,41,PR,1,1,1,1,1085.0,1057.0,1068.0,1075.0,543.8,595.5,607.4,498.5,1,1.0,E,D,D,B,3,C,A,B,D,B,B,B,A,A,A,A,A,A,B,A,A,D,A,A,B,605.38293
